date, value
1959/7/2,0.293
1959/7/6,0.291
1959/7/7,0.282
1959/7/8,0.2846
1959/7/9,0.276
1959/7/10,0.2757
1959/7/13,0.278
1959/7/14,0.2855
1959/7/15,0.2873
1959/7/16,0.2915
1959/7/17,0.2916
1959/7/20,0.2893
1959/7/21,0.2916
1959/7/22,0.2943
1959/7/23,0.2939
1959/7/24,0.2933
1959/7/27,0.2932
1959/7/28,0.2935
1959/7/29,0.285
1959/7/30,0.2874
1959/7/31,0.2915
1959/8/3,0.2932
1959/8/4,0.29
1959/8/5,0.2905
1959/8/6,0.2945
1959/8/7,0.2993
1959/8/10,0.302
1959/8/11,0.3028
1959/8/12,0.3049
1959/8/13,0.308
1959/8/14,0.3065
1959/8/17,0.294
1959/8/18,0.301
1959/8/19,0.302
1959/8/20,0.301
1959/8/21,0.3001
1959/8/24,0.2998
1959/8/25,0.298
1959/8/26,0.3018
1959/8/27,0.304
1959/8/28,0.3069
1959/8/31,0.3123
1959/9/1,0.307
1959/9/2,0.3078
1959/9/3,0.3083
1959/9/4,0.3101
1959/9/8,0.3113
1959/9/9,0.3089
1959/9/10,0.3075
1959/9/11,0.3076
1959/9/14,0.3023
1959/9/15,0.2983
1959/9/16,0.2996
1959/9/17,0.2979
1959/9/18,0.2943
1959/9/21,0.291
1959/9/22,0.2917
1959/9/23,0.297
1959/9/24,0.3018
1959/9/25,0.3026
1959/9/28,0.3003
1959/9/29,0.3025
1959/9/30,0.3038
1959/10/1,0.305
1959/10/2,0.3092
1959/10/5,0.3108
1959/10/6,0.3117
1959/10/7,0.3076
1959/10/8,0.309
1959/10/9,0.3099
1959/10/13,0.308
1959/10/14,0.312
1959/10/15,0.3112
1959/10/16,0.3115
1959/10/19,0.316
1959/10/20,0.322
1959/10/21,0.3246
1959/10/22,0.3288
1959/10/23,0.3265
1959/10/26,0.3272
1959/10/27,0.331
1959/10/28,0.3315
1959/10/29,0.332
1959/10/30,0.33
1959/11/2,0.3335
1959/11/4,0.3418
1959/11/5,0.3425
1959/11/6,0.3474
1959/11/9,0.3487
1959/11/10,0.353
1959/11/11,0.3472
1959/11/12,0.3422
1959/11/13,0.3365
1959/11/16,0.3285
1959/11/17,0.3197
1959/11/18,0.3215
1959/11/19,0.3259
1959/11/20,0.3237
1959/11/23,0.32
1959/11/24,0.3222
1959/11/25,0.317
1959/11/27,0.3121
1959/11/30,0.3095
1959/12/1,0.3175
1959/12/2,0.3219
1959/12/3,0.319
1959/12/4,0.3192
1959/12/7,0.3216
1959/12/8,0.3264
1959/12/9,0.3265
1959/12/10,0.3286
1959/12/11,0.3248
1959/12/14,0.3235
1959/12/15,0.3284
1959/12/16,0.3233
1959/12/17,0.3215
1959/12/18,0.3269
1959/12/21,0.3297
1959/12/22,0.3296
1959/12/23,0.3312
1959/12/24,0.3338
1959/12/28,0.3364
1959/12/29,0.3278
1959/12/30,0.3231
1959/12/31,0.3199
1960/1/4,0.3187
1960/1/5,0.318
1960/1/6,0.3195
1960/1/7,0.315
1960/1/8,0.3171
1960/1/11,0.3195
1960/1/12,0.3173
1960/1/13,0.3176
1960/1/14,0.3188
1960/1/15,0.321
1960/1/18,0.3213
1960/1/19,0.3197
1960/1/20,0.3195
1960/1/21,0.3197
1960/1/22,0.3225
1960/1/25,0.3267
1960/1/26,0.3283
1960/1/27,0.3265
1960/1/28,0.324
1960/1/29,0.3201
1960/2/1,0.3166
1960/2/2,0.3186
1960/2/3,0.3181
1960/2/4,0.3236
1960/2/5,0.3222
1960/2/8,0.3233
1960/2/9,0.3265
1960/2/10,0.3255
1960/2/11,0.3274
1960/2/12,0.3286
1960/2/15,0.3255
1960/2/16,0.324
1960/2/17,0.326
1960/2/18,0.328
1960/2/19,0.3265
1960/2/23,0.3202
1960/2/24,0.3173
1960/2/25,0.3157
1960/2/26,0.31
1960/2/29,0.302
1960/3/1,0.2955
1960/3/2,0.2964
1960/3/3,0.296
1960/3/4,0.2925
1960/3/7,0.2911
1960/3/8,0.2919
1960/3/9,0.2933
1960/3/10,0.2907
1960/3/11,0.2855
1960/3/14,0.2877
1960/3/15,0.2875
1960/3/16,0.2862
1960/3/17,0.2847
1960/3/18,0.2894
1960/3/21,0.2902
1960/3/22,0.2912
1960/3/23,0.2929
1960/3/24,0.2939
1960/3/25,0.2953
1960/3/28,0.294
1960/3/29,0.2891
1960/3/30,0.2893
1960/3/31,0.2917
1960/4/1,0.291
1960/4/4,0.2901
1960/4/5,0.2919
1960/4/6,0.2935
1960/4/7,0.2968
1960/4/8,0.297
1960/4/11,0.2987
1960/4/12,0.2999
1960/4/13,0.3017
1960/4/14,0.2994
1960/4/18,0.2991
1960/4/19,0.2987
1960/4/20,0.3004
1960/4/21,0.3044
1960/4/22,0.3099
1960/4/25,0.3119
1960/4/26,0.3047
1960/4/27,0.3048
1960/4/28,0.2987
1960/4/29,0.2943
1960/5/2,0.2931
1960/5/3,0.299
1960/5/4,0.2955
1960/5/5,0.294
1960/5/6,0.2915
1960/5/9,0.2926
1960/5/10,0.2925
1960/5/11,0.2925
1960/5/12,0.293
1960/5/13,0.2908
1960/5/16,0.2909
1960/5/17,0.2969
1960/5/18,0.2963
1960/5/19,0.2987
1960/5/20,0.3035
1960/5/23,0.3048
1960/5/24,0.3
1960/5/25,0.2964
1960/5/26,0.2965
1960/5/27,0.2967
1960/5/31,0.301
1960/6/1,0.3037
1960/6/2,0.3108
1960/6/3,0.3106
1960/6/6,0.3141
1960/6/7,0.311
1960/6/8,0.3084
1960/6/9,0.3112
1960/6/10,0.3124
1960/6/13,0.3136
1960/6/14,0.322
1960/6/15,0.3186
1960/6/16,0.3165
1960/6/17,0.3192
1960/6/20,0.316
1960/6/21,0.3185
1960/6/22,0.3152
1960/6/23,0.3135
1960/6/24,0.3097
1960/6/27,0.3088
1960/6/28,0.3084
1960/6/29,0.3074
1960/6/30,0.3054
1960/7/1,0.3028
1960/7/5,0.3012
1960/7/6,0.3028
1960/7/7,0.3027
1960/7/8,0.3074
1960/7/11,0.3119
1960/7/12,0.3085
1960/7/13,0.3102
1960/7/14,0.3086
1960/7/15,0.3055
1960/7/18,0.3076
1960/7/19,0.3058
1960/7/20,0.3096
1960/7/21,0.309
1960/7/22,0.3074
1960/7/25,0.3068
1960/7/26,0.308
1960/7/27,0.3088
1960/7/28,0.3071
1960/7/29,0.3072
1960/8/1,0.3084
1960/8/2,0.3075
1960/8/3,0.3077
1960/8/4,0.3059
1960/8/5,0.3058
1960/8/8,0.3035
1960/8/9,0.3035
1960/8/10,0.3027
1960/8/11,0.3022
1960/8/12,0.3025
1960/8/15,0.3006
1960/8/16,0.3025
1960/8/17,0.303
1960/8/18,0.3037
1960/8/19,0.3045
1960/8/22,0.3017
1960/8/23,0.3026
1960/8/24,0.3035
1960/8/25,0.3038
1960/8/26,0.3013
1960/8/29,0.2992
1960/8/30,0.2967
1960/8/31,0.2929
1960/9/1,0.2931
1960/9/2,0.293
1960/9/6,0.2925
1960/9/7,0.2917
1960/9/8,0.2894
1960/9/9,0.289
1960/9/12,0.2892
1960/9/13,0.2895
1960/9/14,0.2913
1960/9/15,0.2921
1960/9/16,0.2937
1960/9/19,0.2893
1960/9/20,0.2912
1960/9/21,0.2925
1960/9/22,0.2905
1960/9/23,0.2901
1960/9/26,0.2882
1960/9/27,0.2883
1960/9/28,0.288
1960/9/29,0.2867
1960/9/30,0.2881
1960/10/3,0.2842
1960/10/4,0.2825
1960/10/5,0.2825
1960/10/6,0.2818
1960/10/7,0.2819
1960/10/10,0.2839
1960/10/11,0.2822
1960/10/12,0.278
1960/10/13,0.278
1960/10/14,0.2789
1960/10/17,0.2796
1960/10/18,0.2771
1960/10/19,0.2768
1960/10/20,0.2802
1960/10/21,0.2766
1960/10/24,0.277
1960/10/25,0.2776
1960/10/26,0.2774
1960/10/27,0.2789
1960/10/28,0.278
1960/10/31,0.2782
1960/11/1,0.2796
1960/11/2,0.282
1960/11/3,0.2826
1960/11/4,0.2818
1960/11/7,0.2842
1960/11/9,0.2862
1960/11/10,0.2838
1960/11/11,0.2832
1960/11/14,0.2795
1960/11/15,0.2823
1960/11/16,0.2795
1960/11/17,0.2804
1960/11/18,0.2804
1960/11/21,0.284
1960/11/22,0.2835
1960/11/23,0.2818
1960/11/25,0.2813
1960/11/28,0.2807
1960/11/29,0.2795
1960/11/30,0.2805
1960/12/1,0.2819
1960/12/2,0.2817
1960/12/5,0.2828
1960/12/6,0.283
1960/12/7,0.2806
1960/12/8,0.2814
1960/12/9,0.2815
1960/12/12,0.2814
1960/12/13,0.2791
1960/12/14,0.2779
1960/12/15,0.2753
1960/12/16,0.276
