date, value
1959/7/1,1.177
1959/7/2,1.176
1959/7/6,1.171
1959/7/7,1.171
1959/7/8,1.17
1959/7/9,1.174
1959/7/10,1.182
1959/7/13,1.173
1959/7/14,1.186
1959/7/15,1.182
1959/7/16,1.181
1959/7/17,1.184
1959/7/20,1.19
1959/7/21,1.185
1959/7/22,1.183
1959/7/23,1.166
1959/7/24,1.175
1959/7/27,1.174
1959/7/28,1.166
1959/7/29,1.172
1959/7/30,1.17
1959/7/31,1.173
1959/8/3,1.165
1959/8/4,1.167
1959/8/5,1.17
1959/8/6,1.162
1959/8/7,1.16
1959/8/10,1.156
1959/8/11,1.156
1959/8/12,1.155
1959/8/13,1.16
1959/8/14,1.164
1959/8/17,1.157
1959/8/18,1.155
1959/8/19,1.156
1959/8/20,1.16
1959/8/21,1.162
1959/8/24,1.162
1959/8/25,1.162
1959/8/26,1.161
1959/8/27,1.156
1959/8/28,1.155
1959/8/31,1.153
1959/9/1,1.156
1959/9/2,1.16
1959/9/3,1.157
1959/9/4,1.16
1959/9/8,1.153
1959/9/9,1.146
1959/9/10,1.145
1959/9/11,1.141
1959/9/14,1.135
1959/9/15,1.134
1959/9/16,1.134
1959/9/17,1.134
1959/9/18,1.133
1959/9/21,1.133
1959/9/22,1.133
1959/9/23,1.142
1959/9/24,1.142
1959/9/25,1.136
1959/9/28,1.14
1959/9/29,1.135
1959/9/30,1.135
1959/10/1,1.135
1959/10/2,1.141
1959/10/5,1.141
1959/10/6,1.142
1959/10/7,1.142
1959/10/8,1.142
1959/10/9,1.137
1959/10/12,1.132
1959/10/13,1.135
1959/10/14,1.131
1959/10/15,1.131
1959/10/16,1.126
1959/10/19,1.13
1959/10/20,1.136
1959/10/21,1.144
1959/10/22,1.141
1959/10/23,1.137
1959/10/26,1.151
1959/10/27,1.144
1959/10/28,1.144
1959/10/29,1.136
1959/10/30,1.142
1959/11/2,1.141
1959/11/3,1.154
1959/11/4,1.166
1959/11/5,1.164
1959/11/6,1.171
1959/11/9,1.164
1959/11/10,1.16
1959/11/11,1.162
1959/11/12,1.166
1959/11/13,1.167
1959/11/16,1.165
1959/11/17,1.163
