Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,USD,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,EUR,RUB,USD,ZAR,CNY,CAD,AUD
1978/12/29,226,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.1,#N/A,226,#N/A,#N/A,#N/A,#N/A
1979/1/1,226,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,226,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137.1,#N/A,226,#N/A,#N/A,#N/A,#N/A
1979/1/2,226.8,137.3,"43,164.90",111.5,263.7,359.6,"1,792.90",#N/A,226.8,#N/A,735.6,"138,160.50",851.3,"4,454.60",#N/A,#N/A,"107,470.00",137.3,#N/A,226.8,194.6,#N/A,263.7,193.6
1979/1/3,218.6,134,"43,717.90",108,264.4,365.9,"1,802.20",#N/A,218.6,#N/A,739.4,"138,877.00",855.7,"4,477.70",#N/A,#N/A,"108,027.40",134,#N/A,218.6,192.2,#N/A,264.4,193
1979/1/4,223.2,136.8,"43,674.90",110.7,264.1,366.4,"1,811.70",#N/A,223.2,#N/A,743.4,"139,616.30",860.3,"4,501.50",#N/A,#N/A,"108,602.50",136.8,#N/A,223.2,193,#N/A,264.1,194.6
1979/1/5,225.5,138.4,"44,582.50",111.6,268.4,373.7,"1,843.60",#N/A,225.5,#N/A,756.4,"142,069.10",875.4,"4,580.60",#N/A,#N/A,"110,510.40",138.4,#N/A,225.5,196.4,#N/A,268.4,197.9
1979/1/8,223.1,136.4,"44,436.20",110.2,269.5,372.6,"1,841.30",#N/A,223.1,#N/A,750.9,"141,870.90",869.7,"4,574.20",#N/A,#N/A,"110,356.30",136.4,#N/A,223.1,197.2,#N/A,269.5,197.9
1979/1/9,224,137.3,"44,045.60",111,266.3,372.8,"1,822.50",#N/A,224,#N/A,743.3,"140,446.70",860.9,"4,528.30",#N/A,#N/A,"109,248.40",137.3,#N/A,224,195,#N/A,266.3,195.9
1979/1/10,220.7,135.5,"43,366.40",109.9,261.8,365.9,"1,803.50",#N/A,220.7,#N/A,735.6,"138,981.00",852,"4,481.00",#N/A,#N/A,"108,108.30",135.5,#N/A,220.7,192,#N/A,261.8,192.7
1979/1/11,220.7,135.9,"43,770.60",110.2,262.5,370.9,"1,814.60",#N/A,220.7,#N/A,740.1,"139,833.80",857.2,"4,508.50",#N/A,#N/A,"108,771.70",135.9,#N/A,220.7,192.4,#N/A,262.5,193.8
1979/1/12,217.6,134.1,"42,837.10",109,257.2,364.6,"1,782.60",#N/A,217.6,#N/A,727.1,"137,371.80",842.1,"4,429.10",#N/A,#N/A,"106,856.60",134.1,#N/A,217.6,187.1,#N/A,257.2,189.8
1979/1/15,216.9,133.8,"42,795.30",108.8,256.8,367.8,"1,782.00",#N/A,216.9,#N/A,718.1,"135,122.40",825.5,"4,374.70",#N/A,#N/A,"106,819.80",133.8,#N/A,216.9,187.3,#N/A,256.8,189.8
1979/1/16,220.7,135.6,"43,225.90",110.2,260.9,367.7,"1,796.50",#N/A,220.7,#N/A,724,"136,222.90",832.3,"4,410.40",#N/A,#N/A,"107,689.80",135.6,#N/A,220.7,189.3,#N/A,260.9,191.9
1979/1/17,227.3,139.2,"44,349.70",113.3,267.6,376.2,"1,842.10",#N/A,227.3,#N/A,742.3,"139,676.20",853.4,"4,522.20",#N/A,#N/A,"110,419.80",139.2,#N/A,227.3,196,#N/A,267.6,197.1
1979/1/18,231.8,141.7,"44,823.40",115.3,270.8,379.1,"1,861.70",#N/A,231.8,#N/A,750.3,"141,168.10",862.5,"4,570.50",#N/A,#N/A,"111,599.20",141.7,#N/A,231.8,197.1,#N/A,270.8,199
1979/1/19,230.6,141.1,"46,908.80",115.1,280.9,396.1,"1,940.80",#N/A,230.6,#N/A,782.1,"147,159.40",899.1,"4,764.40",#N/A,#N/A,"116,335.50",141.1,#N/A,230.6,206.5,#N/A,280.9,207.6
1979/1/22,235,144,"46,387.40",117.6,278.3,393.5,"1,886.90",#N/A,235,#N/A,781.1,"146,492.80",898.4,"4,746.60",#N/A,#N/A,"115,493.30",144,#N/A,235,203.5,#N/A,278.3,205.7
1979/1/23,230,141.1,"45,633.10",115.2,273.3,386.8,"1,895.40",#N/A,230,#N/A,768.4,"144,110.70",883.8,"4,669.50",#N/A,#N/A,"113,615.30",141.1,#N/A,230,200.7,#N/A,273.3,202
1979/1/24,236.1,144.7,"46,372.40",118.1,278.9,392.8,"1,926.10",#N/A,236.1,#N/A,780.9,"146,445.40",898.1,"4,745.10",#N/A,#N/A,"115,456.00",144.7,#N/A,236.1,203.9,#N/A,278.9,205.6
1979/1/25,233.9,144,"46,890.30",117.3,280.1,397.2,"1,937.80",#N/A,233.9,#N/A,785.6,"147,335.80",903.6,"4,774.00",#N/A,#N/A,"116,157.90",144,#N/A,233.9,205.2,#N/A,280.1,206.5
1979/1/26,235.5,144.6,"46,801.30",118,279.6,394.6,"1,929.30",#N/A,235.5,#N/A,782.2,"146,687.10",899.6,"4,752.90",#N/A,#N/A,"115,646.50",144.6,#N/A,235.5,204.3,#N/A,279.6,206
1979/1/29,235.2,145.3,"46,917.30",117.9,279.3,395.3,"1,887.00",#N/A,235.2,#N/A,780,"146,264.70",896.1,"4,721.90",#N/A,#N/A,"115,498.50",145.3,#N/A,235.2,203.1,#N/A,279.3,206
1979/1/30,233.5,144.1,"46,907.20",116.9,278.5,394.2,"1,921.60",#N/A,233.5,#N/A,777.9,"145,868.40",893.7,"4,709.10",#N/A,#N/A,"115,185.50",144.1,#N/A,233.5,203.1,#N/A,278.5,205.6
