date,M2
1980/11/3,1591.4
1980/11/10,1592.9
1980/11/17,1596.3
1980/11/24,1597.2
1980/12/1,1596.1
1980/12/8,1597
1980/12/15,1599.5
1980/12/22,1599.3
1980/12/29,1595.6
1981/1/5,1596.6
1981/1/12,1600.1
1981/1/19,1606.8
1981/1/26,1609.4
1981/2/2,1608.6
1981/2/9,1614
1981/2/16,1618.9
1981/2/23,1623.3
1981/3/2,1626.1
1981/3/9,1630.5
1981/3/16,1636.2
1981/3/23,1640.8
1981/3/30,1646.7
1981/4/6,1652.3
1981/4/13,1658.4
1981/4/20,1663.4
1981/4/27,1664.1
1981/5/4,1663.9
1981/5/11,1663.8
1981/5/18,1662.6
1981/5/25,1663.3
1981/6/1,1666.1
1981/6/8,1666.4
1981/6/15,1669.8
1981/6/22,1672.8
1981/6/29,1671.9
1981/7/6,1678.2
1981/7/13,1677.9
1981/7/20,1683.5
1981/7/27,1685.8
1981/8/3,1688.2
1981/8/10,1694
1981/8/17,1695.2
1981/8/24,1697.6
1981/8/31,1701.2
1981/9/7,1702.3
1981/9/14,1707.4
1981/9/21,1708.3
1981/9/28,1707.8
1981/10/5,1714
1981/10/12,1719.6
1981/10/19,1722.9
1981/10/26,1725.3
1981/11/2,1727.6
1981/11/9,1732.2
1981/11/16,1736.2
1981/11/23,1736.6
1981/11/30,1743.5
1981/12/7,1749.2
1981/12/14,1751.5
1981/12/21,1755.1
1981/12/28,1753.7
1982/1/4,1756.5
1982/1/11,1761.8
1982/1/18,1766.6
1982/1/25,1769.5
1982/2/1,1773.1
1982/2/8,1771.4
1982/2/15,1774.3
1982/2/22,1775.4
1982/3/1,1778.4
1982/3/8,1781.6
1982/3/15,1786.2
1982/3/22,1789.3
1982/3/29,1793.7
1982/4/5,1800
1982/4/12,1805.2
1982/4/19,1806.7
1982/4/26,1806.7
1982/5/3,1805.7
1982/5/10,1809.7
1982/5/17,1812.1
1982/5/24,1816.5
1982/5/31,1821
1982/6/7,1823
1982/6/14,1826
1982/6/21,1826.5
1982/6/28,1824.6
1982/7/5,1827.5
1982/7/12,1828.7
1982/7/19,1830.4
1982/7/26,1834.2
1982/8/2,1837
1982/8/9,1841.1
1982/8/16,1846.1
1982/8/23,1849.9
1982/8/30,1853.4
1982/9/6,1855.9
1982/9/13,1859.2
1982/9/20,1861.2
1982/9/27,1860.1
1982/10/4,1863.9
1982/10/11,1865.5
1982/10/18,1869.3
1982/10/25,1873.4
1982/11/1,1878.8
1982/11/8,1881.4
1982/11/15,1885
1982/11/22,1887.6
1982/11/29,1888.5
1982/12/6,1891.7
1982/12/13,1892.3
1982/12/20,1909.9
1982/12/27,1917.5
1983/1/3,1927
1983/1/10,1943.2
1983/1/17,1955.6
1983/1/24,1965.3
1983/1/31,1976
1983/2/7,1986.5
1983/2/14,1993.1
1983/2/21,1998.4
1983/2/28,2005
1983/3/7,2009.8
1983/3/14,2010.7
1983/3/21,2015.1
1983/3/28,2018.2
1983/4/4,2023.1
1983/4/11,2025.1
1983/4/18,2024.5
1983/4/25,2028.1
1983/5/2,2036.3
1983/5/9,2037.4
1983/5/16,2041.4
1983/5/23,2042.5
1983/5/30,2044.8
1983/6/6,2049.1
1983/6/13,2052.6
1983/6/20,2052.6
1983/6/27,2054.5
1983/7/4,2060.3
1983/7/11,2065.1
1983/7/18,2065.3
1983/7/25,2068.3
1983/8/1,2070.8
1983/8/8,2069.7
1983/8/15,2072.1
1983/8/22,2072.9
1983/8/29,2073.5
1983/9/5,2077.2
1983/9/12,2077.3
1983/9/19,2079.2
1983/9/26,2084
1983/10/3,2087
1983/10/10,2093.1
1983/10/17,2095.5
1983/10/24,2099.6
1983/10/31,2102.9
1983/11/7,2102.8
1983/11/14,2104.2
1983/11/21,2105.1
1983/11/28,2107.8
1983/12/5,2112.9
1983/12/12,2117.7
1983/12/19,2121.1
1983/12/26,2122.6
1984/1/2,2127.6
1984/1/9,2133.4
1984/1/16,2137.7
1984/1/23,2140
1984/1/30,2140.7
1984/2/6,2152.1
1984/2/13,2164.5
1984/2/20,2137.7
1984/2/27,2129.2
1984/3/5,2147.7
1984/3/12,2166.7
1984/3/19,2181.2
1984/3/26,2190.8
1984/4/2,2192.6
1984/4/9,2191.8
1984/4/16,2192.8
1984/4/23,2194
1984/4/30,2194.7
1984/5/7,2199
1984/5/14,2204.9
1984/5/21,2207.9
1984/5/28,2209.3
1984/6/4,2214.2
1984/6/11,2216.8
1984/6/18,2218
1984/6/25,2220.9
1984/7/2,2224.6
1984/7/9,2224.5
1984/7/16,2228.8
1984/7/23,2229.7
1984/7/30,2229.3
1984/8/6,2230.6
1984/8/13,2230.6
1984/8/20,2232.1
1984/8/27,2233.5
1984/9/3,2236.4
1984/9/10,2241.1
1984/9/17,2244
1984/9/24,2246.8
1984/10/1,2253.5
1984/10/8,2253.1
1984/10/15,2259.2
1984/10/22,2258.8
1984/10/29,2264.4
1984/11/5,2270.8
1984/11/12,2275.9
1984/11/19,2283.2
1984/11/26,2286.2
1984/12/3,2287.6
1984/12/10,2297.1
1984/12/17,2303.4
1984/12/24,2311.4
1984/12/31,2316.8
1985/1/7,2322.9
1985/1/14,2331.8
1985/1/21,2337.3
1985/1/28,2341.3
1985/2/4,2344
1985/2/11,2345.8
1985/2/18,2349.5
1985/2/25,2352.2
1985/3/4,2357.3
1985/3/11,2359
1985/3/18,2360.8
1985/3/25,2366.3
1985/4/1,2370.6
1985/4/8,2368.5
1985/4/15,2371.4
1985/4/22,2375.5
1985/4/29,2374.5
1985/5/6,2377.6
1985/5/13,2381.5
1985/5/20,2386.8
1985/5/27,2390.4
1985/6/3,2393.2
1985/6/10,2403.4
1985/6/17,2409.3
1985/6/24,2418
1985/7/1,2425.3
1985/7/8,2422.9
1985/7/15,2427.3
1985/7/22,2430.1
1985/7/29,2432
1985/8/5,2435.3
1985/8/12,2437.4
1985/8/19,2438.8
1985/8/26,2442.3
1985/9/2,2441.9
1985/9/9,2444.6
1985/9/16,2446.7
1985/9/23,2450.2
1985/9/30,2462.1
1985/10/7,2460.8
1985/10/14,2461.4
1985/10/21,2467.1
1985/10/28,2467.8
1985/11/4,2469.8
1985/11/11,2470.2
1985/11/18,2473.6
1985/11/25,2479.5
1985/12/2,2482.6
1985/12/9,2486.8
1985/12/16,2489.6
1985/12/23,2495.1
1985/12/30,2494.3
1986/1/6,2501.2
1986/1/13,2499.6
1986/1/20,2503.7
1986/1/27,2509.1
1986/2/3,2505.7
1986/2/10,2510.6
1986/2/17,2512.6
1986/2/24,2517.8
1986/3/3,2521
1986/3/10,2528.8
1986/3/17,2535.3
1986/3/24,2541
1986/3/31,2547.8
1986/4/7,2553.7
1986/4/14,2555.4
1986/4/21,2562.4
1986/4/28,2568.9
1986/5/5,2575.8
1986/5/12,2580.3
1986/5/19,2585.2
1986/5/26,2591.2
1986/6/2,2594.2
1986/6/9,2601.7
1986/6/16,2609.6
1986/6/23,2615.2
1986/6/30,2620.2
1986/7/7,2624
1986/7/14,2629.4
1986/7/21,2635.1
1986/7/28,2638.9
1986/8/4,2643.3
1986/8/11,2647.8
1986/8/18,2650.5
1986/8/25,2653.5
1986/9/1,2660.9
1986/9/8,2663.4
1986/9/15,2665.6
1986/9/22,2674.8
1986/9/29,2680.3
1986/10/6,2683.1
1986/10/13,2683.9
1986/10/20,2689.6
1986/10/27,2693.8
1986/11/3,2694.9
1986/11/10,2698.3
1986/11/17,2702.4
1986/11/24,2703.5
1986/12/1,2714
1986/12/8,2713.1
1986/12/15,2719.1
1986/12/22,2730.6
1986/12/29,2744.1
1987/1/5,2757.9
1987/1/12,2745
1987/1/19,2742
1987/1/26,2745.2
1987/2/2,2742.7
1987/2/9,2741.2
1987/2/16,2741.3
1987/2/23,2742.6
1987/3/2,2744.3
1987/3/9,2748.2
1987/3/16,2752
1987/3/23,2752.1
1987/3/30,2755.4
1987/4/6,2757.6
1987/4/13,2758.7
1987/4/20,2771.5
1987/4/27,2773.5
1987/5/4,2768.4
1987/5/11,2763
1987/5/18,2764.6
1987/5/25,2770
1987/6/1,2773.2
1987/6/8,2769.8
1987/6/15,2771
1987/6/22,2773
1987/6/29,2772.8
1987/7/6,2778.8
1987/7/13,2773.3
1987/7/20,2777.5
1987/7/27,2781.1
1987/8/3,2779.1
1987/8/10,2782.8
1987/8/17,2783.8
1987/8/24,2785.2
1987/8/31,2785.1
1987/9/7,2784.5
1987/9/14,2790.6
1987/9/21,2795
1987/9/28,2797.4
1987/10/5,2804.3
1987/10/12,2800.8
1987/10/19,2809.3
1987/10/26,2827.2
1987/11/2,2819.3
1987/11/9,2815.9
1987/11/16,2816.2
1987/11/23,2817.1
1987/11/30,2817.8
1987/12/7,2820.8
1987/12/14,2823.5
1987/12/21,2826.4
1987/12/28,2828.6
1988/1/4,2830
1988/1/11,2836
1988/1/18,2846.9
1988/1/25,2854.8
1988/2/1,2863.2
1988/2/8,2862.3
1988/2/15,2867.9
1988/2/22,2875
1988/2/29,2875.3
1988/3/7,2882.4
1988/3/14,2889.4
1988/3/21,2897.4
1988/3/28,2901.5
1988/4/4,2905.1
1988/4/11,2909.4
1988/4/18,2912.1
1988/4/25,2920
1988/5/2,2917.4
1988/5/9,2918.3
1988/5/16,2922.7
1988/5/23,2927
1988/5/30,2929.5
1988/6/6,2935.2
1988/6/13,2937.5
1988/6/20,2944.8
1988/6/27,2949.1
1988/7/4,2947.5
1988/7/11,2950.1
1988/7/18,2952.3
1988/7/25,2955.4
1988/8/1,2958.6
1988/8/8,2956.2
1988/8/15,2958.4
1988/8/22,2959.7
1988/8/29,2960.2
1988/9/5,2959.5
1988/9/12,2958.7
1988/9/19,2962.5
1988/9/26,2964.6
1988/10/3,2961.9
1988/10/10,2964.6
1988/10/17,2969.4
1988/10/24,2969.1
1988/10/31,2972.3
1988/11/7,2978.9
1988/11/14,2982.1
1988/11/21,2985.3
1988/11/28,2988.4
1988/12/5,2987
1988/12/12,2989
1988/12/19,2989.2
1988/12/26,2989.5
1989/1/2,2994.1
1989/1/9,2993.8
1989/1/16,2994.7
1989/1/23,2994.6
1989/1/30,2989.3
1989/2/6,2987.5
1989/2/13,2985.3
1989/2/20,2987.1
1989/2/27,2988.7
1989/3/6,2997.3
1989/3/13,2995.8
1989/3/20,2999.5
1989/3/27,3002.7
1989/4/3,3000.6
1989/4/10,3001.5
1989/4/17,3004
1989/4/24,3008.9
1989/5/1,3009.1
1989/5/8,3001.9
1989/5/15,3004.2
1989/5/22,3005.7
1989/5/29,3009.7
1989/6/5,3015.1
1989/6/12,3018.8
1989/6/19,3023.9
1989/6/26,3030.6
1989/7/3,3036.9
1989/7/10,3048
1989/7/17,3050.5
1989/7/24,3053.8
1989/7/31,3056.7
1989/8/7,3064.4
1989/8/14,3068.3
1989/8/21,3072.6
1989/8/28,3075.3
1989/9/4,3076.1
1989/9/11,3082.6
1989/9/18,3086.4
1989/9/25,3090.8
1989/10/2,3098.9
1989/10/9,3105.3
1989/10/16,3111.5
1989/10/23,3116.6
1989/10/30,3118.6
1989/11/6,3126.5
1989/11/13,3129.5
1989/11/20,3132.5
1989/11/27,3138.9
1989/12/4,3142.2
1989/12/11,3146.2
1989/12/18,3150.2
1989/12/25,3157.3
1990/1/1,3161.1
1990/1/8,3164.1
1990/1/15,3164.4
1990/1/22,3166.4
1990/1/29,3167.6
1990/2/5,3175.4
1990/2/12,3177.1
1990/2/19,3179.9
1990/2/26,3185.2
1990/3/5,3186.6
1990/3/12,3187.4
1990/3/19,3188.7
1990/3/26,3194.2
1990/4/2,3196.5
1990/4/9,3197.9
1990/4/16,3200.6
1990/4/23,3202.9
1990/4/30,3205.9
1990/5/7,3199.1
1990/5/14,3199.9
1990/5/21,3201.5
1990/5/28,3201.1
1990/6/4,3205.9
1990/6/11,3208.7
1990/6/18,3213.7
1990/6/25,3217.1
1990/7/2,3223.8
1990/7/9,3219.3
1990/7/16,3225.1
1990/7/23,3224.8
1990/7/30,3228.2
1990/8/6,3231.3
1990/8/13,3240.3
1990/8/20,3244.6
1990/8/27,3246.6
1990/9/3,3250.7
1990/9/10,3252.7
1990/9/17,3252.6
1990/9/24,3254.5
1990/10/1,3262.4
1990/10/8,3260.4
1990/10/15,3259.4
1990/10/22,3256.8
1990/10/29,3259.8
1990/11/5,3259.6
1990/11/12,3261.4
1990/11/19,3263.8
1990/11/26,3267.2
1990/12/3,3257.5
1990/12/10,3266.1
1990/12/17,3270.7
1990/12/24,3276.1
1990/12/31,3280.6
1991/1/7,3280.1
1991/1/14,3282.6
1991/1/21,3289.1
1991/1/28,3294.4
1991/2/4,3298.8
1991/2/11,3303.7
1991/2/18,3303
1991/2/25,3306.7
1991/3/4,3312.2
1991/3/11,3316.1
1991/3/18,3319.3
1991/3/25,3327.1
1991/4/1,3332.1
1991/4/8,3330.7
1991/4/15,3334.6
1991/4/22,3331.9
1991/4/29,3331.7
1991/5/6,3337.6
1991/5/13,3342.9
1991/5/20,3345.7
1991/5/27,3345.6
1991/6/3,3342.1
1991/6/10,3351
1991/6/17,3351.8
1991/6/24,3351.1
1991/7/1,3359.1
1991/7/8,3355.2
1991/7/15,3357
1991/7/22,3356.8
1991/7/29,3355.4
1991/8/5,3354.5
1991/8/12,3354.6
1991/8/19,3353.4
1991/8/26,3358.5
1991/9/2,3353.5
1991/9/9,3356.5
1991/9/16,3355.4
1991/9/23,3354.5
1991/9/30,3353.8
1991/10/7,3356.8
1991/10/14,3358.1
1991/10/21,3362.4
1991/10/28,3363.2
1991/11/4,3360.3
1991/11/11,3365.2
1991/11/18,3365
1991/11/25,3366.5
1991/12/2,3369.4
1991/12/9,3372.4
1991/12/16,3379.5
1991/12/23,3371.1
1991/12/30,3367.7
1992/1/6,3365.7
1992/1/13,3374.9
1992/1/20,3381.7
1992/1/27,3393.5
1992/2/3,3392.9
1992/2/10,3398.9
1992/2/17,3400.8
1992/2/24,3402.5
1992/3/2,3401.1
1992/3/9,3404.6
1992/3/16,3407.2
1992/3/23,3404
1992/3/30,3401.1
