date, value,
1997/1/1,5.62,3.26
1997/2/1,3.06,1.78
1997/3/1,3.15,1.84
1997/4/1,3.7,2.16
1997/5/1,3.82,2.23
1997/6/1,3.71,2.17
1997/7/1,3.81,2.23
1997/8/1,4.59,2.69
1997/9/1,5.04,2.96
1997/10/1,5.46,3.22
1997/11/1,4.25,2.5
1997/12/1,3.86,2.27
1998/1/1,3.55,2.09
1998/2/1,3.78,2.23
1998/3/1,3.96,2.34
1998/4/1,3.68,2.18
1998/5/1,3.54,2.1
1998/6/1,4.02,2.39
1998/7/1,3.11,1.85
1998/8/1,2.7,1.61
1998/9/1,3.72,2.22
1998/10/1,3.35,2
1998/11/1,2.73,1.63
1998/12/1,3.26,1.95
1999/1/1,3.06,1.83
1999/2/1,2.72,1.63
1999/3/1,3.36,2.02
1999/4/1,3.71,2.25
1999/5/1,3.78,2.29
1999/6/1,3.86,2.34
1999/7/1,4.2,2.55
1999/8/1,4.66,2.84
1999/9/1,3.77,2.31
1999/10/1,4.5,2.76
1999/11/1,3.62,2.22
1999/12/1,3.75,2.3
2000/1/1,4.37,2.69
2000/2/1,4.28,2.65
2000/3/1,4.61,2.88
2000/4/1,4.95,3.09
2000/5/1,7.23,4.52
2000/6/1,6.94,4.36
2000/7/1,5.95,3.75
2000/8/1,7.55,4.76
2000/9/1,8.05,5.1
2000/10/1,6.89,4.37
2000/11/1,9.94,6.31
2000/12/1,16.52,10.48
2001/1/1,9.14,5.83
2001/2/1,8.19,5.25
2001/3/1,8.33,5.35
2001/4/1,7.34,4.73
2001/5/1,5.76,3.73
2001/6/1,4.48,2.91
2001/7/1,5.11,3.31
2001/8/1,3.32,2.15
2001/9/1,2.77,1.8
2001/10/1,4.74,3.07
2001/11/1,2.83,1.83
2001/12/1,3.72,2.4
2002/1/1,3.53,2.28
2002/2/1,3.84,2.49
2002/3/1,4.88,3.18
2002/4/1,5.57,3.65
2002/5/1,4.81,3.15
2002/6/1,4.88,3.2
2002/7/1,4.6,3.02
2002/8/1,4.74,3.12
2002/9/1,6.2,4.09
2002/10/1,6.64,4.39
2002/11/1,6.34,4.19
2002/12/1,6.96,4.59
2003/1/1,8.43,5.58
2003/2/1,16.19,10.81
2003/3/1,7.46,5.01
2003/4/1,7.83,5.25
2003/5/1,8.96,5.99
2003/6/1,7.93,5.31
2003/7/1,6.91,4.63
2003/8/1,7.22,4.86
2003/9/1,6.9,4.66
2003/10/1,5.9,3.98
2003/11/1,7.23,4.86
2003/12/1,8.57,5.76
2004/1/1,8.59,5.8
2004/2/1,7.76,5.27
2004/3/1,8.24,5.63
2004/4/1,8.48,5.81
2004/5/1,9.36,6.45
2004/6/1,8.72,6.03
2004/7/1,8.73,6.03
2004/8/1,7.3,5.04
2004/9/1,9.18,6.36
2004/10/1,9.24,6.43
2004/11/1,9.75,6.79
2004/12/1,8.67,6.02
2005/1/1,8.83,6.14
2005/2/1,9.47,6.62
2005/3/1,10.59,7.46
2005/4/1,9.36,6.64
2005/5/1,8.9,6.31
2005/6/1,9.88,7.01
2005/7/1,10.9,7.76
2005/8/1,17.73,12.69
2005/9/1,20.48,14.84
2005/10/1,16.77,12.18
2005/11/1,16.28,11.73
2005/12/1,13.27,9.52
2006/1/1,12.07,8.73
2006/2/1,9.24,6.69
2006/3/1,9.58,6.98
2006/4/1,9.04,6.64
2006/5/1,8.09,5.97
2006/6/1,7.9,5.84
2006/7/1,10.84,8.04
2006/8/1,7.8,5.8
2006/9/1,4.95,3.66
2006/10/1,9.02,6.64
2006/11/1,11.32,8.32
2006/12/1,7.47,5.5
2007/1/1,10.51,7.76
2007/2/1,9.75,7.23
2007/3/1,10.02,7.5
2007/4/1,10.23,7.71
2007/5/1,10.29,7.8
2007/6/1,8.43,6.4
2007/7/1,8.6,6.53
2007/8/1,7.24,5.49
2007/9/1,8.09,6.15
2007/10/1,9.56,7.28
2007/11/1,9.51,7.29
2007/12/1,9.29,7.11
2008/1/1,10.53,8.1
2008/2/1,11.79,9.1
2008/3/1,12.67,9.86
2008/4/1,13.8,10.81
2008/5/1,14.47,11.43
2008/6/1,16.54,13.19
2008/7/1,11.55,9.26
2008/8/1,10.32,8.24
2008/9/1,8.99,7.17
2008/10/1,7.83,6.18
2008/11/1,8.3,6.43
2008/12/1,7.35,5.63
2009/1/1,6.2,4.77
2009/2/1,5.22,4.04
2009/3/1,4.62,3.58
2009/4/1,4.18,3.25
2009/5/1,5.03,3.92
2009/6/1,4.73,3.72
2009/7/1,4.26,3.34
2009/8/1,3.08,2.42
2009/9/1,4.13,3.25
2009/10/1,5.22,4.11
2009/11/1,5.59,4.41
2009/12/1,7.39,5.82
2010/1/1,6.66,5.26
2010/2/1,6.03,4.76
2010/3/1,4.95,3.93
2010/4/1,4.96,3.94
2010/5/1,5.42,4.31
2010/6/1,5.7,4.53
2010/7/1,6.05,4.81
2010/8/1,4.78,3.8
2010/9/1,4.84,3.85
2010/10/1,4.21,3.36
2010/11/1,5.22,4.16
2010/12/1,5.28,4.22
2011/1/1,5.51,4.42
2011/2/1,4.87,3.93
2011/3/1,5.3,4.32
2011/4/1,5.5,4.51
2011/5/1,5.62,4.63
2011/6/1,5.2,4.28
2011/7/1,5.17,4.26
2011/8/1,4.81,3.97
2011/9/1,4.45,3.68
2011/10/1,4.44,3.66
2011/11/1,4.28,3.53
2011/12/1,3.62,2.98
2012/1/1,3.04,2.51
2012/2/1,2.94,2.44
2012/3/1,2.39,2
2012/4/1,2.5,2.1
2012/5/1,2.79,2.34
2012/6/1,3.27,2.74
2012/7/1,3.83,3.2
2012/8/1,3.24,2.72
2012/9/1,3.65,3.08
2012/10/1,4.15,3.5
2012/11/1,4.12,3.46
2012/12/1,4.1,3.43
2013/1/1,3.97,3.33
2013/2/1,4.11,3.48
2013/3/1,4.75,4.03
2013/4/1,5.07,4.3
2013/5/1,4.74,4.02
2013/6/1,4.19,3.57
2013/7/1,4.06,3.46
2013/8/1,4.19,3.57
2013/9/1,4.08,3.48
2013/10/1,4.19,3.57
2013/11/1,4.55,3.87
2013/12/1,5.07,4.31
2014/1/1,5.91,5.04
2014/2/1,5.61,4.8
2014/3/1,5.2,4.48
2014/4/1,5.54,4.79
2014/5/1,5.18,4.49
2014/6/1,5.05,4.39
2014/7/1,4.35,3.78
2014/8/1,4.66,4.04
2014/9/1,4.77,4.14
2014/10/1,4.41,3.82
2014/11/1,5,4.3
2014/12/1,3.67,3.14
2015/1/1,3.38,2.88
2015/2/1,3.26,2.79
2015/3/1,3.08,2.65
2015/4/1,2.97,2.56
2015/5/1,3.21,2.78
2015/6/1,3.22,2.8
2015/7/1,3.17,2.76
2015/8/1,3.11,2.7
2015/9/1,2.85,2.47
2015/10/1,2.28,1.98
2015/11/1,2.44,2.11
2015/12/1,2.64,2.28
2016/1/1,2.64,2.28
2016/2/1,1.87,1.62
2016/3/1,2.28,1.98
2016/4/1,2.17,1.89
2016/5/1,2.42,2.12
2016/6/1,3.35,2.94
2016/7/1,3.39,2.97
2016/8/1,3.36,2.95
2016/9/1,3.23,2.84
2016/10/1,3.23,2.85
2016/11/1,3.77,3.32
2016/12/1,4.21,3.71
2017/1/1,3.39,3
2017/2/1,2.86,2.54
2017/3/1,3.52,3.13
2017/4/1,3.59,3.2
2017/5/1,3.42,3.05
2017/6/1,3.34,2.98
2017/7/1,3.22,2.87
2017/8/1,3.26,2.92
2017/9/1,3.27,2.94
2017/10/1,3.16,2.84
2017/11/1,3.4,3.06
2017/12/1,4.11,3.69
2018/1/1,3.7,3.34
2018/2/1,2.93,2.66
2018/3/1,3.09,2.81
2018/4/1,3.01,2.75
2018/5/1,3.2,2.94
2018/6/1,3.22,2.96
2018/7/1,3.07,2.82
2018/8/1,3.24,2.98
2018/9/1,3.27,3.01
2018/10/1,3.59,3.31
2018/11/1,5.02,4.61
2018/12/1,3.55,3.25
2019/1/1,3.07,2.82
2019/2/1,3.14,2.89
2019/3/1,2.95,2.73
2019/4/1,2.78,2.59
2019/5/1,2.77,2.59
2019/6/1,2.59,2.42
2019/7/1,2.44,2.28
2019/8/1,2.49,2.33
2019/9/1,2.53,2.37
2019/10/1,2.91,2.73
2019/11/1,2.62,2.46
2019/12/1,2.23,2.09
2020/1/1,2.03,1.91
2020/2/1,1.9,1.79
2020/3/1,1.82,1.71
2020/4/1,1.74,1.63
2020/5/1,1.82,1.7
2020/6/1,1.87,1.76
2020/7/1,1.94,1.83
2020/8/1,2.43,2.3
2020/9/1,1.75,1.66
2020/10/1,3.19,3.03
2020/11/1,3.05,2.89
2020/12/1,2.49,2.36
2021/1/1,2.81,2.68
2021/2/1,2.77,2.66
2021/3/1,2.61,2.52
2021/4/1,2.94,2.86
2021/5/1,2.97,2.91
2021/6/1,3.83,3.79
2021/7/1,3.96,3.94
2021/8/1,4.34,4.33
2021/9/1,5.58,5.58
2021/10/1,5.49,5.49
2021/11/1,5.33,5.33
