date, value
1968/12/5,2.4375
1968/12/6,2.4475
1968/12/9,2.4363
1968/12/10,2.4375
1968/12/11,2.4463
1968/12/12,2.45
1968/12/13,2.4575
1968/12/16,2.455
1968/12/17,2.4488
1968/12/18,2.4475
1968/12/19,2.4488
1968/12/20,2.4625
1968/12/23,2.4788
1968/12/24,2.46
1968/12/26,2.4625
1968/12/27,2.4625
1968/12/30,2.4663
1968/12/31,2.4663
1969/1/2,2.465
1969/1/3,2.4638
1969/1/6,2.47
1969/1/7,2.4725
1969/1/8,2.4938
1969/1/9,2.4913
1969/1/10,2.4825
1969/1/13,2.445
1969/1/14,2.4425
1969/1/15,2.4513
1969/1/16,2.4588
1969/1/17,2.455
1969/1/20,2.455
1969/1/21,2.455
1969/1/22,2.4563
1969/1/23,2.465
1969/1/24,2.4625
1969/1/27,2.4575
1969/1/28,2.455
1969/1/29,2.455
1969/1/30,2.455
1969/1/31,2.4575
1969/2/3,2.4525
1969/2/4,2.4563
1969/2/5,2.4563
1969/2/6,2.4575
1969/2/7,2.4538
1969/2/10,2.4475
1969/2/11,2.4463
1969/2/12,2.4475
1969/2/13,2.4488
1969/2/14,2.435
1969/2/17,2.43
1969/2/18,2.4313
1969/2/19,2.4413
1969/2/20,2.435
1969/2/24,2.4325
1969/2/25,2.43
1969/2/26,2.4275
1969/2/27,2.43
1969/2/28,2.4388
1969/3/3,2.43
1969/3/4,2.435
1969/3/5,2.4138
1969/3/6,2.41
1969/3/7,2.4063
1969/3/10,2.3988
1969/3/11,2.3988
1969/3/12,2.3963
1969/3/13,2.3913
1969/3/14,2.3875
1969/3/17,2.3763
1969/3/18,2.375
1969/3/19,2.375
1969/3/20,2.3788
1969/3/21,2.3775
1969/3/24,2.3788
1969/3/25,2.3875
1969/3/26,2.385
1969/3/27,2.3875
1969/3/28,2.3975
1969/4/1,2.3925
1969/4/2,2.3825
1969/4/3,2.3875
1969/4/7,2.39
1969/4/8,2.395
1969/4/9,2.395
1969/4/10,2.395
1969/4/11,2.3938
1969/4/14,2.3875
1969/4/15,2.3925
1969/4/16,2.3963
1969/4/17,2.3938
1969/4/18,2.3925
1969/4/21,2.39
1969/4/22,2.385
1969/4/23,2.3888
1969/4/24,2.3925
1969/4/25,2.3975
1969/4/28,2.4025
1969/4/29,2.3988
1969/4/30,2.3975
1969/5/1,2.4
1969/5/2,2.4063
1969/5/5,2.41
1969/5/6,2.4163
1969/5/7,2.4113
1969/5/8,2.4075
1969/5/9,2.4075
1969/5/12,2.4113
1969/5/13,2.4125
1969/5/14,2.4175
1969/5/15,2.4175
1969/5/16,2.4175
1969/5/19,2.4175
1969/5/20,2.415
1969/5/21,2.415
1969/5/22,2.4163
1969/5/23,2.405
1969/5/26,2.3938
1969/5/27,2.4
1969/5/28,2.3975
1969/5/29,2.3875
1969/6/2,2.3888
1969/6/3,2.3825
1969/6/4,2.38
1969/6/5,2.385
1969/6/6,2.3875
1969/6/9,2.395
1969/6/10,2.39
1969/6/11,2.3975
1969/6/12,2.405
1969/6/13,2.405
1969/6/16,2.4
1969/6/17,2.4
1969/6/18,2.4088
1969/6/19,2.405
1969/6/20,2.405
1969/6/23,2.4075
1969/6/24,2.4025
1969/6/25,2.4075
1969/6/26,2.4
1969/6/27,2.3963
1969/6/30,2.4025
1969/7/1,2.4025
1969/7/2,2.4025
1969/7/3,2.41
1969/7/7,2.4238
1969/7/8,2.4138
1969/7/9,2.4175
1969/7/10,2.4125
1969/7/11,2.415
1969/7/14,2.4325
1969/7/15,2.4375
1969/7/16,2.435
1969/7/17,2.4413
1969/7/18,2.43
1969/7/22,2.4325
1969/7/23,2.4175
1969/7/24,2.4038
1969/7/25,2.3863
1969/7/28,2.3813
1969/7/29,2.385
1969/7/30,2.4013
1969/7/31,2.4013
1969/8/1,2.3975
1969/8/4,2.3975
1969/8/5,2.4013
1969/8/6,2.4013
1969/8/7,2.405
1969/8/8,2.4175
1969/8/11,2.4138
1969/8/12,2.415
1969/8/13,2.4175
1969/8/14,2.4175
1969/8/15,2.4113
1969/8/18,2.4013
1969/8/19,2.3963
1969/8/20,2.3938
1969/8/21,2.4
1969/8/22,2.4025
1969/8/25,2.4075
1969/8/26,2.4
1969/8/27,2.4063
1969/8/28,2.4113
1969/8/29,2.415
1969/9/2,2.3963
1969/9/3,2.4025
1969/9/4,2.405
1969/9/5,2.405
1969/9/8,2.4013
1969/9/9,2.4
1969/9/10,2.4025
1969/9/11,2.4125
