date, value
1959/7/1,1.964
1959/7/2,1.971
1959/7/6,1.97
1959/7/7,1.971
1959/7/8,1.964
1959/7/9,1.955
1959/7/10,1.956
1959/7/13,1.961
1959/7/14,1.955
1959/7/15,1.953
1959/7/16,1.951
1959/7/17,1.944
1959/7/20,1.954
1959/7/21,1.947
1959/7/22,1.945
1959/7/23,1.942
1959/7/24,1.944
1959/7/27,1.953
1959/7/28,1.945
1959/7/29,1.945
1959/7/30,1.95
1959/7/31,1.962
1959/8/3,1.956
1959/8/4,1.967
1959/8/5,1.956
1959/8/6,1.953
1959/8/7,1.953
1959/8/10,1.955
1959/8/11,1.96
1959/8/12,1.954
1959/8/13,1.951
1959/8/14,1.954
1959/8/17,1.955
1959/8/18,1.952
1959/8/19,1.955
1959/8/20,1.953
1959/8/21,1.953
1959/8/24,1.971
1959/8/25,1.967
1959/8/26,1.97
1959/8/27,1.964
1959/8/28,1.964
1959/8/31,1.972
1959/9/1,1.977
1959/9/2,1.983
1959/9/3,1.982
1959/9/4,1.981
1959/9/8,1.975
1959/9/9,1.967
1959/9/10,1.966
1959/9/11,1.966
1959/9/14,1.966
1959/9/15,1.967
1959/9/16,1.957
1959/9/17,1.957
1959/9/18,1.961
1959/9/21,1.96
1959/9/22,1.942
1959/9/23,1.953
1959/9/24,1.953
1959/9/25,1.946
1959/9/28,1.946
1959/9/29,1.952
1959/9/30,1.964
1959/10/1,1.96
1959/10/2,1.963
1959/10/5,1.957
1959/10/6,1.966
1959/10/7,1.97
1959/10/8,1.97
1959/10/9,1.966
1959/10/12,1.974
1959/10/13,1.973
1959/10/14,1.967
1959/10/15,1.965
1959/10/16,1.976
1959/10/19,1.975
1959/10/20,1.981
1959/10/21,2
1959/10/22,2.003
1959/10/23,2.007
1959/10/26,2.003
1959/10/27,2.003
1959/10/28,2.011
1959/10/29,1.996
1959/10/30,2.003
1959/11/2,2.005
1959/11/3,2.004
1959/11/4,2
1959/11/5,1.996
1959/11/6,1.997
1959/11/9,2.01
1959/11/10,2.02
1959/11/11,2.014
1959/11/12,2.015
1959/11/13,2.026
1959/11/16,2.02
1959/11/17,2.01
1959/11/18,2.005
1959/11/19,1.994
1959/11/20,1.983
1959/11/23,1.977
1959/11/24,1.995
1959/11/25,2.0084
1959/11/27,2.0124
1959/11/30,2.022
1959/12/1,2.032
1959/12/2,2.036
1959/12/3,2.031
1959/12/4,2.03
1959/12/7,2.026
1959/12/8,2.017
1959/12/9,2.016
1959/12/10,2.016
1959/12/11,2.012
1959/12/14,2.016
1959/12/15,2.024
1959/12/16,2.023
1959/12/17,2.006
1959/12/18,2.012
1959/12/21,2.014
1959/12/22,2.013
1959/12/23,2.025
1959/12/24,2.031
1959/12/28,2.033
1959/12/29,2.036
1959/12/30,2.041
1959/12/31,2.042
1960/1/4,2.047
1960/1/5,2.037
1960/1/6,2.037
1960/1/7,2.034
1960/1/8,2.042
1960/1/11,2.045
1960/1/12,2.043
1960/1/13,2.034
1960/1/14,2.023
1960/1/15,2.026
1960/1/18,2.026
1960/1/19,2.021
1960/1/20,2.016
1960/1/21,2.022
1960/1/22,2.022
1960/1/25,2.023
1960/1/26,2.031
1960/1/27,2.021
1960/1/28,2.02
1960/1/29,2.005
1960/2/1,1.995
1960/2/2,1.991
1960/2/3,1.991
1960/2/4,1.984
1960/2/5,1.986
1960/2/8,1.985
1960/2/9,1.99
1960/2/10,1.982
1960/2/11,1.991
1960/2/12,2.001
1960/2/15,1.995
1960/2/16,2.002
1960/2/17,1.997
1960/2/18,1.995
1960/2/19,1.997
1960/2/23,1.995
1960/2/24,1.9958
1960/2/25,1.984
1960/2/26,1.9846
1960/2/29,1.996
1960/3/1,2.001
1960/3/2,2.001
1960/3/3,2.005
1960/3/4,2
1960/3/7,2.01
1960/3/8,2.017
1960/3/9,2.016
1960/3/10,2.005
1960/3/11,2.017
1960/3/14,2.034
1960/3/15,2.042
1960/3/16,2.046
1960/3/17,2.042
1960/3/18,2.041
1960/3/21,2.051
1960/3/22,2.055
1960/3/23,2.071
1960/3/24,2.083
1960/3/25,2.076
1960/3/28,2.063
1960/3/29,2.063
1960/3/30,2.074
1960/3/31,2.075
1960/4/1,2.082
1960/4/4,2.08
1960/4/5,2.077
1960/4/6,2.083
1960/4/7,2.087
1960/4/8,2.075
1960/4/11,2.063
1960/4/12,2.072
1960/4/13,2.057
1960/4/14,2.057
1960/4/18,2.064
1960/4/19,2.072
1960/4/20,2.08
1960/4/21,2.084
1960/4/22,2.087
1960/4/25,2.081
1960/4/26,2.0362
1960/4/27,1.9982
1960/4/28,1.9452
1960/4/29,1.9006
1960/5/2,1.846
1960/5/3,1.852
1960/5/4,1.855
1960/5/5,1.856
1960/5/6,1.853
1960/5/9,1.855
1960/5/10,1.854
1960/5/11,1.851
1960/5/12,1.851
1960/5/13,1.85
1960/5/16,1.854
1960/5/17,1.856
1960/5/18,1.856
1960/5/19,1.856
1960/5/20,1.86
1960/5/23,1.86
1960/5/24,1.85
1960/5/25,1.846
1960/5/26,1.845
1960/5/27,1.845
1960/5/31,1.845
1960/6/1,1.846
1960/6/2,1.845
1960/6/3,1.85
1960/6/6,1.843
1960/6/7,1.842
1960/6/8,1.846
1960/6/9,1.852
1960/6/10,1.85
1960/6/13,1.844
1960/6/14,1.841
1960/6/15,1.842
1960/6/16,1.842
1960/6/17,1.835
1960/6/20,1.825
1960/6/21,1.825
1960/6/22,1.821
1960/6/23,1.821
1960/6/24,1.817
1960/6/27,1.8288
1960/6/28,1.835
1960/6/29,1.8408
1960/6/30,1.8524
1960/7/1,1.86
1960/7/5,1.866
1960/7/6,1.86
1960/7/7,1.851
1960/7/8,1.847
1960/7/11,1.85
1960/7/12,1.853
1960/7/13,1.855
1960/7/14,1.855
1960/7/15,1.846
1960/7/18,1.837
1960/7/19,1.83
1960/7/20,1.832
1960/7/21,1.842
1960/7/22,1.836
1960/7/25,1.831
1960/7/26,1.835
1960/7/27,1.841
1960/7/28,1.842
1960/7/29,1.84
1960/8/1,1.847
1960/8/2,1.847
1960/8/3,1.852
1960/8/4,1.861
1960/8/5,1.863
1960/8/8,1.862
1960/8/9,1.857
1960/8/10,1.856
1960/8/11,1.854
1960/8/12,1.856
1960/8/15,1.856
1960/8/16,1.85
1960/8/17,1.85
1960/8/18,1.852
1960/8/19,1.856
1960/8/22,1.857
1960/8/23,1.857
1960/8/24,1.86
1960/8/25,1.86
1960/8/26,1.875
1960/8/29,1.887
1960/8/30,1.8906
1960/8/31,1.9012
1960/9/1,1.923
1960/9/2,1.922
1960/9/6,1.922
1960/9/7,1.92
1960/9/8,1.924
1960/9/9,1.93
1960/9/12,1.926
1960/9/13,1.932
1960/9/14,1.931
1960/9/15,1.933
1960/9/16,1.932
1960/9/19,1.927
1960/9/20,1.93
1960/9/21,1.933
1960/9/22,1.934
1960/9/23,1.937
1960/9/26,1.944
1960/9/27,1.947
1960/9/28,1.95
1960/9/29,1.951
1960/9/30,1.945
1960/10/3,1.952
1960/10/4,1.961
1960/10/5,1.96
1960/10/6,1.957
1960/10/7,1.96
1960/10/10,1.953
1960/10/11,1.956
1960/10/12,1.96
1960/10/13,1.957
1960/10/14,1.953
1960/10/17,1.951
1960/10/18,1.947
1960/10/19,1.956
1960/10/20,1.96
1960/10/21,1.965
1960/10/24,1.966
1960/10/25,1.964
1960/10/26,1.975
1960/10/27,1.98
1960/10/28,1.983
1960/10/31,1.992
1960/11/1,1.995
1960/11/2,1.997
1960/11/3,2.012
1960/11/4,2.002
1960/11/7,2
1960/11/9,2.005
1960/11/10,1.987
1960/11/11,1.997
1960/11/14,2.002
1960/11/15,1.996
1960/11/16,1.991
1960/11/17,1.987
1960/11/18,2.004
1960/11/21,2.01
1960/11/22,2.017
1960/11/23,2.036
1960/11/25,2.0304
1960/11/28,2.0252
1960/11/29,2.0386
1960/11/30,2.0516
1960/12/1,2.047
1960/12/2,2.046
1960/12/5,2.051
1960/12/6,2.05
1960/12/7,2.055
1960/12/8,2.061
1960/12/9,2.066
1960/12/12,2.066
1960/12/13,2.053
1960/12/14,2.057
1960/12/15,2.056
1960/12/16,2.057
1960/12/19,2.052
1960/12/20,2.063
1960/12/21,2.075
1960/12/22,2.077
1960/12/23,2.081
1960/12/27,2.07
1960/12/28,2.077
1960/12/29,2.083
1960/12/30,2.085
