Macrotrends Data Download

Natural Gas Prices - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1997-01-01,5.62,3.260
1997-02-01,3.06,1.780
1997-03-01,3.15,1.840
1997-04-01,3.70,2.160
1997-05-01,3.82,2.230
1997-06-01,3.71,2.170
1997-07-01,3.81,2.230
1997-08-01,4.59,2.690
1997-09-01,5.04,2.960
1997-10-01,5.46,3.220
1997-11-01,4.25,2.500
1997-12-01,3.86,2.270
1998-01-01,3.55,2.090
1998-02-01,3.78,2.230
1998-03-01,3.96,2.340
1998-04-01,3.68,2.180
1998-05-01,3.54,2.100
1998-06-01,4.02,2.390
1998-07-01,3.11,1.850
1998-08-01,2.70,1.610
1998-09-01,3.72,2.220
1998-10-01,3.35,2.000
1998-11-01,2.73,1.630
1998-12-01,3.26,1.950
1999-01-01,3.06,1.830
1999-02-01,2.72,1.630
1999-03-01,3.36,2.020
1999-04-01,3.71,2.250
1999-05-01,3.78,2.290
1999-06-01,3.86,2.340
1999-07-01,4.20,2.550
1999-08-01,4.66,2.840
1999-09-01,3.77,2.310
1999-10-01,4.50,2.760
1999-11-01,3.62,2.220
1999-12-01,3.75,2.300
2000-01-01,4.37,2.690
2000-02-01,4.28,2.650
2000-03-01,4.61,2.880
2000-04-01,4.95,3.090
2000-05-01,7.23,4.520
2000-06-01,6.94,4.360
2000-07-01,5.95,3.750
2000-08-01,7.55,4.760
2000-09-01,8.05,5.100
2000-10-01,6.89,4.370
2000-11-01,9.94,6.310
2000-12-01,16.52,10.480
2001-01-01,9.14,5.830
2001-02-01,8.19,5.250
2001-03-01,8.33,5.350
